Issue Type,Summary,Description,Priority,Component,Labels,Acceptance Criteria,Parent Epic
Epic,Sprint 2 – Manufacturing Intent Layer,Generate deterministic manufacturing intent from SOE outputs without enabling human edits,Highest,Process,"sprint2,datumplan,intent","DatumPlan generated deterministically and validated",,
Story,Define DatumPlan schema,"Create datum_plan.schema.json describing ordered manufacturing intent, steps, tests, evidence, and references to SOE decisions.",Highest,Schemas,"datumplan,schema","Schema validates; references SOE decision IDs; CI passes",Sprint 2 – Manufacturing Intent Layer
Story,Implement DatumPlan generator,"Generate DatumPlan from SOERun + core inputs as a pure function.",Highest,Process,"datumplan,generator","Same inputs produce identical DatumPlan JSON",Sprint 2 – Manufacturing Intent Layer
Story,Insert SOE-required steps,"Translate SOE REQUIRE/INSERT_STEP actions into ordered DatumPlan steps.",Highest,Process,"soe,integration","SOE-required steps are flagged and ordered correctly",Sprint 2 – Manufacturing Intent Layer
Story,Generate test intent from SOE,"Translate SOE test decisions into DatumPlan test sections (functional, env, reliability).",Highest,Process,"tests,intent","DatumPlan lists required tests with acceptance criteria references",Sprint 2 – Manufacturing Intent Layer
Story,Generate evidence intent,"Translate SOE evidence requirements into DatumPlan evidence section with retention.",High,Process,"evidence,intent","Evidence entries reference rule_id and retention policy",Sprint 2 – Manufacturing Intent Layer
Story,Implement manufacturing step taxonomy,"Define canonical step types (SMT, REFLOW, CLEAN, BAKE, COAT, SELECTIVE_SOLDER, TEST, INSPECT).",High,Process,"taxonomy,steps","All DatumPlan steps use canonical types",Sprint 2 – Manufacturing Intent Layer
Story,Generate golden DatumPlan example,"Create examples/datum_plan.space.flight.json as regression anchor.",High,Process,"examples,regression","Golden plan matches generator output",Sprint 2 – Manufacturing Intent Layer
Epic,Execution Outputs v1 (Read-Only),Generate execution-ready artifacts without enabling production use,Highest,Outputs,"outputs,manufacturing","Execution outputs generated and schema-validated",,
Story,Define execution output schemas,"Add schemas for stencil, placement, selective solder, lead form, programming, AOI, reflow.",Highest,Schemas,"outputs,schema","All schemas validate and CI passes",Execution Outputs v1 (Read-Only)
Story,Generate stencil intent,"Generate stencil aperture + foil recommendations from PCB + BOM.",Highest,Outputs,"stencil,intent","Stencil output references components and pitch correctly",Execution Outputs v1 (Read-Only)
Story,Generate placement intent,"Generate placement intent (XYZ, rotation, side) without exporting machine files.",Highest,Outputs,"placement,intent","Placement intent lists refdes, coords, rotation",Execution Outputs v1 (Read-Only)
Story,Generate selective solder intent,"Generate selective solder locations based on PTH analysis.",High,Outputs,"selective-solder,intent","Selective solder intent lists locations and constraints",Execution Outputs v1 (Read-Only)
Story,Generate lead forming intent,"Generate lead forming intent for applicable components.",Medium,Outputs,"lead-form,intent","Lead form entries reference refdes and target dimensions",Execution Outputs v1 (Read-Only)
Story,Generate programming intent,"Generate programming intent when firmware load required.",Medium,Outputs,"programming,intent","Programming intent references firmware + verify step",Execution Outputs v1 (Read-Only)
Epic,Ops Review (Read-Only),Expose manufacturing intent for review without edit capability,High,Ops,"ops,review","Ops can review intent but not change it",,
Story,Expose DatumPlan via API,"Add GET /plans/{quote_id} returning DatumPlan.",Highest,API,"api,datumplan","Endpoint returns validated DatumPlan JSON",Ops Review (Read-Only)
Story,Expose execution outputs via API,"Add GET /outputs/{plan_id} returning execution intent artifacts.",High,API,"api,outputs","Endpoint returns validated execution outputs",Ops Review (Read-Only)
Story,Ops UI: DatumPlan viewer,"Display DatumPlan steps, tests, evidence, and SOE 'why' references.",High,UI,"ops,viewer","Ops can view but not edit DatumPlan",Ops Review (Read-Only)
Story,Ops UI: Execution outputs viewer,"Display stencil/placement/solder/programming intent artifacts.",Medium,UI,"ops,outputs","Outputs visible; no export or edit buttons",Ops Review (Read-Only)
Epic,Determinism & Guardrails,Sprint 2 quality and safety gates,Highest,Quality,"determinism,guardrails","Intent layer is deterministic and immutable",,
Story,Add DatumPlan determinism tests,"Golden tests ensure identical DatumPlan for identical inputs.",Highest,Quality,"tests,determinism","Golden tests pass",Determinism & Guardrails
Story,Prevent DatumPlan mutation,"Ensure DatumPlan objects are immutable post-generation.",Highest,Quality,"immutability,locks","Mutation attempts fail",Determinism & Guardrails
Story,Extend agent red-team checks,"Add checks preventing human edits or override flags in Sprint 2 artifacts.",High,Agents,"agents,redteam","Agent CI fails on mutation attempts",Determinism & Guardrails
